,ex_date,split_factor
738,20090409000000,1.5
739,20140925000000,1.45
740,20170531000000,1.6
741,19940630000000,1.1
742,19990621000000,1.2
743,20000323000000,1.2
744,20010412000000,1.9
745,20060317000000,1.6411000000000002
746,19940414000000,1.1
747,19951108000000,1.2
748,19990927000000,1.5
749,20040618000000,1.3
750,20050607000000,1.2
751,20060529000000,1.35815
752,20060713000000,1.5
753,20100716000000,1.3
754,20140528000000,1.5
755,19940328000000,1.8
756,19970612000000,1.2
757,19980616000000,1.3
758,20001024000000,2.0
759,20060119000000,1.31
760,20150626000000,1.2
761,19951011000000,1.2
762,19960829000000,1.1
763,19980827000000,1.1
764,20000703000000,1.9600000000000002
765,20010416000000,1.7
766,20070509000000,1.19
767,20090331000000,1.6
768,20100409000000,1.6
769,20110712000000,1.4
770,20150401000000,2.5
771,20180517000000,1.5
772,19940506000000,1.5
773,19960917000000,1.5
774,20000620000000,1.1
775,20070608000000,1.3
776,20080606000000,1.5
777,20090626000000,1.4
778,20150612000000,1.3
779,20180511000000,1.1
780,19940411000000,2.0
781,19950523000000,1.1
782,19960822000000,1.1
783,20060307000000,1.33
784,20151120000000,1.7
785,19940511000000,1.1
786,19950314000000,1.1
787,20060728000000,1.392
788,20150326000000,1.3
789,20150827000000,2.0
790,19940506000000,1.4
791,19951213000000,1.15
792,19960820000000,1.1
793,19970612000000,1.1
794,20070116000000,1.05
795,20180529000000,1.5
796,19940511000000,1.2
797,19950530000000,1.1
798,20060512000000,1.1800000000000002
799,19950824000000,1.2
800,19970721000000,1.0699999999999998
801,20060608000000,1.416
802,20060704000000,1.6
803,20110929000000,2.0
804,20120803000000,1.35
805,19940422000000,1.2
806,19961003000000,1.3
807,20060818000000,1.9
808,19941010000000,1.1
809,19951011000000,1.1
810,19980716000000,1.2
811,19990507000000,1.9
812,20010321000000,1.6
813,20020528000000,1.5
814,20030512000000,1.5
815,20070419000000,1.035
816,19940419000000,1.2
817,19940511000000,1.2
818,19960701000000,1.2
819,19970423000000,2.0
820,20060328000000,1.25
821,20120528000000,1.5
822,19940427000000,1.2
823,20060803000000,1.22
824,20070709000000,2.0
825,19940531000000,1.1
826,19951030000000,1.1
827,19980520000000,1.2
828,20130513000000,2.0
829,20160512000000,2.0
830,19940124000000,1.2
831,19950627000000,1.5
832,19960729000000,1.05
833,19980720000000,1.2
834,20010406000000,1.5
835,20070319000000,1.23
836,19950809000000,1.1
837,20060608000000,1.4
838,20150922000000,2.0
839,19940719000000,1.2
840,19950927000000,1.2
841,19960730000000,1.1
842,19971128000000,1.5
843,19950704000000,1.4
844,19960723000000,1.3
845,19970520000000,1.4
846,20000420000000,2.0
847,20060626000000,1.35718
848,19950627000000,1.1
849,19960703000000,1.1
850,19970708000000,1.2
851,19990112000000,1.3
852,20010417000000,1.1826599999999998
853,20041015000000,2.0
854,20050429000000,1.4
855,20060421000000,1.25
856,20110525000000,1.3
857,20140609000000,1.2
858,20150429000000,1.2
859,20170511000000,1.2
860,19940621000000,1.1
861,19951011000000,1.2
862,19960829000000,1.1
863,20060419000000,1.2
864,20080509000000,1.5
865,20110408000000,1.7
866,20170605000000,1.5
867,20060925000000,1.3
868,20150911000000,2.5143227
869,20180627000000,1.3
870,19941013000000,1.2
871,19950606000000,1.2
872,19970806000000,1.2
873,20090929000000,1.1
874,19951129000000,1.1
875,19970827000000,1.1
876,19980717000000,1.5
877,19990709000000,1.4
878,20000614000000,1.1
879,20060621000000,1.3199999999999998
880,20130619000000,2.0
881,19940706000000,1.2
882,19990609000000,1.8
883,20060725000000,1.35
884,20130711000000,2.1
885,20160406000000,2.0
886,19940419000000,1.3
887,19951031000000,1.1
888,19960612000000,1.2
889,20060314000000,1.5
890,19941019000000,1.3
891,19960716000000,1.1
892,19970826000000,1.1
893,19990611000000,1.5
894,20060518000000,1.1800000000000002
895,20150831000000,2.5
896,19940816000000,1.2
897,19960730000000,1.1
898,19970702000000,1.2
899,20051121000000,1.3
900,20121026000000,2.0
901,20160531000000,2.0
902,19940706000000,1.4
903,19950809000000,1.2
904,19990111000000,1.5
905,20060217000000,1.25
906,20190613000000,1.45
907,19950530000000,1.3
908,19951204000000,1.5
909,19970225000000,1.6
910,19970509000000,1.2
911,19980401000000,1.3
912,20030710000000,1.6
913,20051103000000,1.3
914,20080520000000,1.6
915,19941010000000,1.1
916,19970703000000,1.05
917,20060815000000,1.4
918,19950824000000,1.1
919,19960605000000,1.5
920,20060619000000,1.3199999999999998
921,20090918000000,1.5
922,19940719000000,1.4
923,19950830000000,1.3
924,19960703000000,1.4
925,19970414000000,2.0
926,19980929000000,1.4
927,20061113000000,1.23
928,19940823000000,1.4
929,19950711000000,1.2
930,19970520000000,1.3
931,20051205000000,1.3
932,20070903000000,1.6
933,19940923000000,1.4
934,19950530000000,1.2
